Orden;Nombre;Direccion;Postal;Poblacion;Municipio;Provincia;Telefono;Actividad;Aplicacion;MtoHardware;e-mail
261;Tirado Bejarano, Fernando;Avda. de Coria, 21;41010;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
262;Troncoso Blasco, José Manuel;Constancia, 30;41010;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
263;Urpina Arca, Daniel;Evangelista, 20;41010;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
264;Vilches Gargallo, Esther;Santa Cecilia, 13;41010;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
265;Farmacia Plaza de Gongora CB;Plaza de Gongora, 5;41010;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
266;Farmacia Los Angeles CB;Alvar Nuñez n. 34-Nuc. Los Angeles;41010;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
267;Farmacia Asunción Cinco CB;Asuncion, 5;41011;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
268;Martínez Pando, Francisco José;Joaquin Garcia Morato s/n.;41011;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
269;Cuerda Sierra CB;Asuncion,57;41011;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
270;Fagundez Alonso, Margarita;Santa Fe, 9, local 3;41011;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
271;Farmacia Gajardo-González SC;Niebla,4;41011;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
272;Farmacia Miguel Sánchez Luque CB;Niebla, 50;41011;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
273;Farmacia Morente García-Delgado CB;Pedro Perez Fernandez, 16;41011;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
274;González Aguilar, Cristina Ana;Fernando IV, 4;41011;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
275;Gonzalez Molina, Mercedes;Juan Ramon Jimenez, 14;41011;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
276;Jiménez Pérez, Estrella;Virgen de la Cinta, 27;41011;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
277;Martinez Rodriguez Colmenares, Rosario;Asuncion, 31;41011;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
278;Mirón González, María Cristina;Niebla, 41;41011;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
279;Moreno Morales, Jacinto;Virgen de Loreto, 22;41011;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
280;Moreno Roca, Carmen;Asunción, 84. Edif. Presidente local B 1;41011;;Sevilla;SEVILLA;;Oficina de Farmacia;;;
