orden;nombre;direccion;postal;poblacion;municipio;provincia;telefono;actividad;aplicacion;mtohardware;latitude;longitude
47;FARMACIA OSUNA, C.B.;Pl. Martinete, 7 Pol. San Pablo ;41007;;;;;;;;37.393073;-5.970045300000038;
48;FARMACIA TORREJON, C.B.;Av. Gual Villalbi, 11 Bda. TorrejÃ³n ;41009;;;;;;Compufarma;;37.4101751;-5.985901600000034;
49;FARMACIA YANGÃœELA C.B.;SÃ¡nchez Arjona, 31 ;41010;;;;;;;;41.647833;-4.7406383000000005;
50;FARMACIA ZAMBRANO;Av. Francia, 59 bis ;41012;;;;;;;;40.4323314;-3.8083795999999666;
51;FARMACIA-OPTICA ABASCAL ALONSO;Av. JerÃ©z, 53 C, Urb. Jardines de HÃ©rcules ;41014;;;;;;Compufarma;;37.3257942;-5.970039899999961;
52;FARMACIA-OPTICA GARCIA SANCHEZ;NÃºcleo San Diego, C.C., lc.19 ;41008;;;;;;Compufarma;;37.4000675;-5.975326699999982;
53;FARMACIA-OPTICA GUERRERO MARIN;Lora del RÃ­o, 26 ;41013;;;;;;;;37.3683172;-5.974356599999965;
54;FARMACIA-OPTICA PEREZ SOLANO;Pl. EncarnaciÃ³n, 14 ;41003;;;;;;;;37.393553;-5.991351699999996;
55;FARMACIA-OPTICA VILCHES;Santa Cecilia, 13 ;41010;;;;;;;;37.3826603;-6.010242500000004;
56;FERNANDEZ GONZALEZ, JAIME - FERNANDEZ SAEZ, JAIME;Eduardo Dato, 41 ;41018;;;;;;;;37.3834969;-5.976718699999992;
57;FERNANDEZ ROJO, C.B.;Manuel Arellano, 40 ;41010;;;;;;;;37.38592;-6.01243999999997;
58;FERNANDO PEÃ‘A C.B.;PrevisiÃ³n, 4/Palma del RÃ­o, 12 ;41008;;;;;;Compufarma;;37.4000675;-5.975326699999982;
59;FUENTES CASTILLO, MARIA LUISA;JosÃ© SebastiÃ¡n Bandaran, Bo. Murillo ;41013;;;;;;;;37.5191054;-6.271459199999981;
60;GALAN PARRA, MARIA DOLORES;Fernando VillalÃ³n, 1 ;41004;;;;;;Compufarma;;37.3765753;-5.981942200000049;
61;GALDO SECO, MARIA CARMEN;Av. Eduardo Dato, 24 ;41005;;;;;;;;37.3826384;-5.972840499999961;
62;GALERA RUIZ, M. ROSA;Alameda HÃ©rcules, 24 ;41002;;;;;;;;37.3979356;-5.99434640000004;
63;GALLEGO JURADO, REYES;Jose Luis de Casso, 7 ;41005;;;;;;;;37.38657;-5.969892100000038;
64;GARCIA AYUSO, CRISTINA;Flor de Salvia, Edf. Azahares, Bl. 2 ;41011;;;;;;;;37.3424297;-6.009701800000016;
65;GARCIA GARCIA, CRISTINA;Tabladiella, 8 ;41013;;;;;;;;37.3674967;-5.983092700000043;
66;GARCIA GARCIA, DANIEL;Av. InnovaciÃ³n, Edf. Ministerio, lc. 1;41020;Sevilla;;;;O.F.;;;37.4212157;-5.925121100000069;
67;GARCIA GONZALEZ, JOSE;TorremejÃ­as, 50 ;41016;;;;;;;;38.8141946;-6.221718399999986;
68;GARZON ALVAREZ, CARMEN;JesÃºs GarcÃ­a DÃ­az, 32;41020;Sevilla;;;;O.F.;;;37.4075026;-5.940483399999948;
69;GOMEZ-RUBIO, C.B.;Cooperativa Viviendas Giralda Sur, bl. 5, Pol.S. ;41013;;;;;;;;37.36104540000001;-5.969112600000017;
70;GONZALEZ AGUILAR, M. NIEVES;Fuentemilanos, 6 B, esq. Barajas, 7 B ;41019;;;;;;;;37.4093103;-5.92380049999997;
71;GONZALEZ ALVAREZ, MARGARITA;Guadalimar, 8. Las Palmeras ;41013;;;;;;;;36.7419688;-4.433377000000064;
72;GONZALEZ ANTON-GAJARDO PEREZ;Niebla, 4 ;41011;;;;;;;;37.378273;-5.999620400000026;
73;GONZALEZ CONDE, JOSE;Juan RamÃ³n JimÃ©nez, 14 ;41011;;;;;;;;37.3739046;-5.998880299999996;
74;GONZALEZ-ARAMBURU, C.B.;Ofelia Nieto, 21 ;41006;;;;;;;;37.3709184;-5.9497570999999425;
75;GUTIERREZ GUTIERREZ, CARMEN;Comunidad de Extremadura, 6 ;41008;;;;;;;;41.57644;-4.715180000000032;
76;HAYA COLL, ANTONIO J.;Sombra, 10 ;41012;;;;;;;;39.6762019;-3.012428;
77;HERRERA DAVILA, JOAQUIN;TetuÃ¡n, 4;41001;;;;;;;;37.3902933;-5.995333399999936;
78;HERRERA DEL REY, TERESA;Aracena, 7 ;41010;;;;;;;;37.3847776;-6.01085809999995;
79;HERRERA MORENO, FRANCISCO DE PAULA;Av. Miraflores, 74 ;41008;;;;;;;;37.4179663;-5.969941199999994;
80;HIDALGO MONTAÃ‘O, AMPARO;Dresde, 3, esq. Bruselas ;41012;;;;;;;;37.3541523;-5.988545599999952;
81;HUERTA DEL REY, C.B.;Hta. del Rey. Eduardo Dato, 22 ;41005;;;;;;;;37.3793117;-5.9647535999999945;
82;IRIARTE JUAN MARTIÃ‘ENA, TERESA M.;MenÃ©ndez Pelayo, 12 ;41004;;;;;;;;37.3835326;-5.986928499999976;
83;JIMENEZ ROMERO, MARIA ANTONIA;Bo. E, lc. 80. P.S.P. ;41007;;;;;;;;37.3103925;-6.866138599999999;
84;JIMENEZ SAENZ, MARIA DOLORES;Las Naciones, bl. 27 ;41008;;;;;;;;37.4050675;-5.967894399999977;
85;JIMENEZ VALDECANTOS, MATIAS;Virgen de la Cinta, 27 ;41011;;;;;;;;37.3725419;-5.999839800000018;
86;LA CASA GARCIA, CARMEN;Blanca Paloma, 3- Bda. RocÃ­o ;41009;;;;;;;;37.4101751;-5.985901600000034;
87;LEON GOMEZ, JUAN MANUEL;MarquÃ©s de Paradas, 27 ;41001;;;;;;;;37.3914766;-6.001505800000018;
88;LOPE MONASTERIO, ESTHER;Av. Ciencias, 34;41020;Sevilla;;;;O.F.;;;37.401745;-5.926393100000041;
89;LOPEZ BENITEZ, FERNANDO;Bda. Oliva, Bl. 134-135 ;41013;;;;;;;;37.3650164;-5.968679699999939;
90;LORA CHAVES, MANUEL;San Vicente de PaÃºl, 14 ;41010;;;;;;;;37.384104;-6.009685999999988;
91;;;;;;;;;;;
92;;;;;;;;;;;
93;;;;;;;;;;;
94;;;;;;;;;;;
95;;;;;;;;;;;
96;;;;;;;;;;;
97;;;;;;;;;;;
98;;;;;;;;;;;
99;;;;;;;;;;;
100;;;;;;;;;;;
101;;;41020;Sevilla;;;;O.F.;;;
102;MARQUEZ VILLEGAS, M. GRACIA;Av. Ciencias, Edf. Estrella Este;41020;Sevilla;;;;O.F.;;;37.398136;-5.924624399999971;
103;;;;;;;;;;;
104;MORENO DOMINGUEZ, RAFAEL;Hong-Kong, 9 Sevila Este;41020;Sevilla;;;;O.F.;;;37.406787;-5.913879100000031;
105;;;41020;Sevilla;;;;O.F.;;;
106;PALMA DEL MORAL, JUAN MIGUEL;Urb. Los Azores, Edf. Cristina;41020;Sevilla;;;954 257 916;O.F.;;;37.4212157;-5.925121100000069;
107;;;41020;Sevilla;;;;O.F.;;;
108;RODRIGUEZ VILLALBA, JUAN J.;Enfrantes, 5, Acc. D, Urb. Jardines del EdÃ©n;41020;Sevilla;;;;O.F.;;;37.4212157;-5.925121100000069;
109;;;;;;;;;;;
110;;;;;;;;;;;
111;;;;;;;;;;;
112;;;;;;;;;;;
113;;;;;;;;;;;
114;;;;;;;;;;;
115;;;;;;;;;;;
116;;;;;;;;;;;
117;;;;;;;;;;;
118;;;;;;;;;;;
119;;;;;;;;;;;
120;;;;;;;;;;;
121;;;;;;;;;;;
122;;;;;;;;;;;
123;;;;;;;;;;;
124;;;;;;;;;;;
125;;;;;;;;;;;
126;;;;;;;;;;;
127;;;;;;;;;;;
128;;;;;;;;;;;
129;;;;;;;;;;;
130;;;;;;;;;;;
131;;;;;;;;;;;
132;;;;;;;;;;;
133;;;;;;;;;;;
134;;;;;;;;;;;
135;;;;;;;;;;;
136;;;;;;;;;;;
137;;;;;;;;;;;
138;;;;;;;;;;;
139;;;;;;;;;;;
140;;;;;;;;;;;
141;;;;;;;;;;;
142;;;;;;;;;;;
143;;;;;;;;;;;
144;;;;;;;;;;;
145;;;;;;;;;;;
146;;;;;;;;;;;
147;;;;;;;;;;;
148;;;;;;;;;;;
149;;;;;;;;;;;
150;;;;;;;;;;;
151;;;;;;;;;;;
152;;;;;;;;;;;
153;;;;;;;;;;;
154;;;;;;;;;;;
155;;;;;;;;;;;
156;;;;;;;;;;;
157;;;;;;;;;;;
158;;;;;;;;;;;
159;;;;;;;;;;;
160;;;;;;;;;;;
161;;;;;;;;;;;
162;;;;;;;;;;;
163;;;;;;;;;;;
164;;;;;;;;;;;
165;;;;;;;;;;;
166;;;;;;;;;;;
167;;;;;;;;;;;
168;;;;;;;;;;;
169;;;;;;;;;;;
170;;;;;;;;;;;
171;;;;;;;;;;;
172;;;;;;;;;;;
173;;;;;;;;;;;
174;;;;;;;;;;;
175;;;;;;;;;;;
176;;;;;;;;;;;
177;;;;;;;;;;;
178;;;;;;;;;;;
179;;;;;;;;;;;
180;;;;;;;;;;;
181;;;;;;;;;;;
182;;;;;;;;;;;
183;;;;;;;;;;;
184;;;;;;;;;;;
185;;;;;;;;;;;
186;;;;;;;;;;;
187;;;;;;;;;;;
188;;;;;;;;;;;
189;;;;;;;;;;;
190;;;;;;;;;;;
191;;;;;;;;;;;
192;;;;;;;;;;;
193;;;;;;;;;;;
194;;;;;;;;;;;
195;;;;;;;;;;;
196;;;;;;;;;;;
197;;;;;;;;;;;
198;;;;;;;;;;;
199;;;;;;;;;;;
200;;;;;;;;;;;
201;;;;;;;;;;;
202;;;;;;;;;;;
203;;;;;;;;;;;
204;;;;;;;;;;;
205;;;;;;;;;;;
206;;;;;;;;;;;
207;;;;;;;;;;;
208;;;;;;;;;;;
209;;;;;;;;;;;
210;;;;;;;;;;;
211;;;;;;;;;;;
212;;;;;;;;;;;
213;;;;;;;;;;;
214;;;;;;;;;;;
215;;;;;;;;;;;
216;;;;;;;;;;;
217;;;;;;;;;;;
218;;;;;;;;;;;
219;;;;;;;;;;;
220;;;;;;;;;;;
221;;;;;;;;;;;
222;;;;;;;;;;;
223;;;;;;;;;;;
224;;;;;;;;;;;
225;;;;;;;;;;;
226;;;;;;;;;;;
227;;;;;;;;;;;
228;;;;;;;;;;;
229;;;;;;;;;;;
230;;;;;;;;;;;
231;;;;;;;;;;;
232;;;;;;;;;;;
233;;;;;;;;;;;
234;;;;;;;;;;;
235;;;;;;;;;;;
236;;;;;;;;;;;
237;;;;;;;;;;;
238;;;;;;;;;;;
239;;;;;;;;;;;
240;;;;;;;;;;;
241;;;;;;;;;;;
242;;;;;;;;;;;
243;;;;;;;;;;;
244;;;;;;;;;;;
245;;;;;;;;;;;
246;;;;;;;;;;;
247;;;;;;;;;;;
248;;;;;;;;;;;
249;;;;;;;;;;;
250;;;;;;;;;;;
251;;;;;;;;;;;
252;;;;;;;;;;;
253;;;;;;;;;;;
254;;;;;;;;;;;
255;;;;;;;;;;;
256;;;;;;;;;;;
257;;;;;;;;;;;
258;;;;;;;;;;;
259;;;;;;;;;;;
260;;;;;;;;;;;
261;;;;;;;;;;;
262;;;;;;;;;;;
263;;;;;;;;;;;
264;;;;;;;;;;;
265;;;;;;;;;;;
266;;;;;;;;;;;
267;;;;;;;;;;;
268;;;;;;;;;;;
269;;;;;;;;;;;
270;;;;;;;;;;;
271;;;;;;;;;;;
272;;;;;;;;;;;
273;;;;;;;;;;;
274;;;;;;;;;;;
275;;;;;;;;;;;
276;;;;;;;;;;;
277;;;;;;;;;;;
278;;;;;;;;;;;
279;;;;;;;;;;;
280;;;;;;;;;;;
281;;;;;;;;;;;
282;;;;;;;;;;;
283;;;;;;;;;;;
284;;;;;;;;;;;
285;;;;;;;;;;;
286;;;;;;;;;;;
287;;;;;;;;;;;
288;;;;;;;;;;;
289;;;;;;;;;;;
290;;;;;;;;;;;
291;;;;;;;;;;;
292;;;;;;;;;;;
293;;;;;;;;;;;
294;;;;;;;;;;;
295;;;;;;;;;;;
296;;;;;;;;;;;
297;;;;;;;;;;;
298;;;;;;;;;;;
299;;;;;;;;;;;
300;;;;;;;;;;;
301;;;;;;;;;;;
302;;;;;;;;;;;
303;;;;;;;;;;;
304;;;;;;;;;;;
305;;;;;;;;;;;
306;;;;;;;;;;;
307;;;;;;;;;;;
308;;;;;;;;;;;
309;;;;;;;;;;;
310;;;;;;;;;;;
311;;;;;;;;;;;
312;;;;;;;;;;;
313;;;;;;;;;;;
314;;;;;;;;;;;
315;;;;;;;;;;;
316;;;;;;;;;;;
317;;;;;;;;;;;
318;;;;;;;;;;;
319;;;;;;;;;;;
320;;;;;;;;;;;
321;;;;;;;;;;;
322;;;;;;;;;;;
323;;;;;;;;;;;
324;;;;;;;;;;;
325;;;;;;;;;;;
326;;;;;;;;;;;
327;;;;;;;;;;;
328;;;;;;;;;;;
329;;;;;;;;;;;
330;;;;;;;;;;;
331;;;;;;;;;;;
332;;;;;;;;;;;
333;;;;;;;;;;;
334;;;;;;;;;;;
335;;;;;;;;;;;
336;;;;;;;;;;;
337;;;;;;;;;;;
338;;;;;;;;;;;
339;;;;;;;;;;;
340;;;;;;;;;;;
341;;;;;;;;;;;
342;;;;;;;;;;;
343;;;;;;;;;;;
344;;;;;;;;;;;
345;;;;;;;;;;;
346;;;;;;;;;;;
347;;;;;;;;;;;
348;;;;;;;;;;;
349;;;;;;;;;;;
350;;;;;;;;;;;
351;;;;;;;;;;;
352;;;;;;;;;;;
353;;;;;;;;;;;
354;;;;;;;;;;;
355;;;;;;;;;;;
356;;;;;;;;;;;
357;;;;;;;;;;;
358;;;;;;;;;;;
359;;;;;;;;;;;
360;;;;;;;;;;;
361;;;;;;;;;;;
362;;;;;;;;;;;
363;;;;;;;;;;;
364;;;;;;;;;;;
365;;;;;;;;;;;
366;;;;;;;;;;;
367;;;;;;;;;;;
368;;;;;;;;;;;
369;;;;;;;;;;;
370;;;;;;;;;;;
371;;;;;;;;;;;
372;;;;;;;;;;;
373;;;;;;;;;;;
374;;;;;;;;;;;
375;;;;;;;;;;;
376;;;;;;;;;;;
377;;;;;;;;;;;
378;;;;;;;;;;;
379;;;;;;;;;;;
380;;;;;;;;;;;
381;;;;;;;;;;;
382;;;;;;;;;;;
383;;;;;;;;;;;
384;;;;;;;;;;;
385;;;;;;;;;;;
386;;;;;;;;;;;
387;;;;;;;;;;;
388;;;;;;;;;;;
389;;;;;;;;;;;
390;;;;;;;;;;;
391;;;;;;;;;;;
392;;;;;;;;;;;
393;;;;;;;;;;;
394;;;;;;;;;;;
395;;;;;;;;;;;
396;;;;;;;;;;;
397;;;;;;;;;;;
398;;;;;;;;;;;
399;;;;;;;;;;;
400;;;;;;;;;;;
401;;;;;;;;;;;
402;;;;;;;;;;;
403;;;;;;;;;;;
404;;;;;;;;;;;
405;;;;;;;;;;;
406;;;;;;;;;;;
407;;;;;;;;;;;
408;;;;;;;;;;;
409;;;;;;;;;;;
410;;;;;;;;;;;
411;;;;;;;;;;;
412;;;;;;;;;;;
413;;;;;;;;;;;
414;;;;;;;;;;;
415;;;;;;;;;;;
416;;;;;;;;;;;
417;;;;;;;;;;;
418;;;;;;;;;;;
419;;;;;;;;;;;
420;;;;;;;;;;;
421;;;;;;;;;;;
422;;;;;;;;;;;
423;;;;;;;;;;;
424;;;;;;;;;;;
425;;;;;;;;;;;
426;;;;;;;;;;;
427;;;;;;;;;;;
428;;;;;;;;;;;
429;;;;;;;;;;;
430;;;;;;;;;;;
431;;;;;;;;;;;
432;;;;;;;;;;;
433;;;;;;;;;;;
434;;;;;;;;;;;
435;;;;;;;;;;;
436;;;;;;;;;;;
437;;;;;;;;;;;
438;;;;;;;;;;;
439;;;;;;;;;;;
440;;;;;;;;;;;
441;;;;;;;;;;;
442;;;;;;;;;;;
443;;;;;;;;;;;
444;;;;;;;;;;;
445;;;;;;;;;;;
446;;;;;;;;;;;
447;;;;;;;;;;;
448;;;;;;;;;;;
449;;;;;;;;;;;
450;;;;;;;;;;;
451;;;;;;;;;;;
452;;;;;;;;;;;
453;;;;;;;;;;;
454;;;;;;;;;;;
455;;;;;;;;;;;
456;;;;;;;;;;;
457;;;;;;;;;;;
458;;;;;;;;;;;
459;;;;;;;;;;;
460;;;;;;;;;;;
461;;;;;;;;;;;
462;;;;;;;;;;;
463;;;;;;;;;;;
464;;;;;;;;;;;
465;;;;;;;;;;;
466;;;;;;;;;;;
467;;;;;;;;;;;
468;;;;;;;;;;;
469;;;;;;;;;;;
470;;;;;;;;;;;
471;;;;;;;;;;;
472;;;;;;;;;;;
473;;;;;;;;;;;
474;;;;;;;;;;;
475;;;;;;;;;;;
476;;;;;;;;;;;
477;;;;;;;;;;;
478;;;;;;;;;;;
479;;;;;;;;;;;
480;;;;;;;;;;;
481;;;;;;;;;;;
482;;;;;;;;;;;
483;;;;;;;;;;;
484;;;;;;;;;;;
485;;;;;;;;;;;
486;;;;;;;;;;;
487;;;;;;;;;;;
488;;;;;;;;;;;
489;;;;;;;;;;;
490;;;;;;;;;;;
491;;;;;;;;;;;
492;;;;;;;;;;;
493;;;;;;;;;;;
494;;;;;;;;;;;
495;;;;;;;;;;;
496;;;;;;;;;;;
497;;;;;;;;;;;
498;;;;;;;;;;;
499;;;;;;;;;;;
500;;;;;;;;;;;
501;;;;;;;;;;;
502;;;;;;;;;;;
503;;;;;;;;;;;
504;;;;;;;;;;;
505;;;;;;;;;;;
506;;;;;;;;;;;
507;;;;;;;;;;;
508;;;;;;;;;;;
509;;;;;;;;;;;
510;;;;;;;;;;;
511;;;;;;;;;;;
512;;;;;;;;;;;
513;;;;;;;;;;;
514;;;;;;;;;;;
515;;;;;;;;;;;
516;;;;;;;;;;;
517;;;;;;;;;;;
518;;;;;;;;;;;
519;;;;;;;;;;;
520;;;;;;;;;;;
521;;;;;;;;;;;
522;;;;;;;;;;;
523;;;;;;;;;;;
524;;;;;;;;;;;
525;;;;;;;;;;;
526;;;;;;;;;;;
527;;;;;;;;;;;
528;;;;;;;;;;;
529;;;;;;;;;;;
530;;;;;;;;;;;
531;;;;;;;;;;;
532;;;;;;;;;;;
533;;;;;;;;;;;
534;;;;;;;;;;;
535;;;;;;;;;;;
536;;;;;;;;;;;
537;;;;;;;;;;;
538;;;;;;;;;;;
539;;;;;;;;;;;
540;;;;;;;;;;;
541;;;;;;;;;;;
542;;;;;;;;;;;
543;;;;;;;;;;;
544;;;;;;;;;;;
545;;;;;;;;;;;
546;;;;;;;;;;;
547;;;;;;;;;;;
548;;;;;;;;;;;
549;;;;;;;;;;;
550;;;;;;;;;;;
551;;;;;;;;;;;
552;;;;;;;;;;;
553;;;;;;;;;;;
554;;;;;;;;;;;
555;;;;;;;;;;;
556;;;;;;;;;;;
557;;;;;;;;;;;
558;;;;;;;;;;;
559;;;;;;;;;;;
560;;;;;;;;;;;
561;;;;;;;;;;;
562;;;;;;;;;;;
563;;;;;;;;;;;
564;;;;;;;;;;;
565;;;;;;;;;;;
566;;;;;;;;;;;
567;;;;;;;;;;;
568;;;;;;;;;;;
569;;;;;;;;;;;
570;;;;;;;;;;;
571;;;;;;;;;;;
572;;;;;;;;;;;
573;;;;;;;;;;;
574;;;;;;;;;;;
575;;;;;;;;;;;
576;;;;;;;;;;;
577;;;;;;;;;;;
578;;;;;;;;;;;
579;;;;;;;;;;;
580;;;;;;;;;;;
581;;;;;;;;;;;
582;;;;;;;;;;;
583;;;;;;;;;;;
584;;;;;;;;;;;
585;;;;;;;;;;;
586;;;;;;;;;;;
587;;;;;;;;;;;
588;;;;;;;;;;;
589;;;;;;;;;;;
590;;;;;;;;;;;
591;;;;;;;;;;;
592;;;;;;;;;;;
593;;;;;;;;;;;
594;;;;;;;;;;;
595;;;;;;;;;;;
596;;;;;;;;;;;
597;;;;;;;;;;;
598;;;;;;;;;;;
599;;;;;;;;;;;
600;;;;;;;;;;;
601;;;;;;;;;;;
602;;;;;;;;;;;
603;;;;;;;;;;;
604;;;;;;;;;;;
605;;;;;;;;;;;
606;;;;;;;;;;;
607;;;;;;;;;;;
608;;;;;;;;;;;
609;;;;;;;;;;;
610;;;;;;;;;;;
611;;;;;;;;;;;
612;;;;;;;;;;;
613;;;;;;;;;;;
614;;;;;;;;;;;
615;;;;;;;;;;;
616;;;;;;;;;;;
617;;;;;;;;;;;
618;;;;;;;;;;;
619;;;;;;;;;;;
620;;;;;;;;;;;
621;;;;;;;;;;;
622;;;;;;;;;;;
623;;;;;;;;;;;
624;;;;;;;;;;;
625;;;;;;;;;;;
626;;;;;;;;;;;
627;;;;;;;;;;;
628;;;;;;;;;;;
629;;;;;;;;;;;
630;;;;;;;;;;;
631;;;;;;;;;;;
632;;;;;;;;;;;
633;;;;;;;;;;;
634;;;;;;;;;;;
635;;;;;;;;;;;
636;;;;;;;;;;;
637;;;;;;;;;;;
638;;;;;;;;;;;
639;;;;;;;;;;;
640;;;;;;;;;;;
641;;;;;;;;;;;
642;;;;;;;;;;;
643;;;;;;;;;;;
644;;;;;;;;;;;
645;;;;;;;;;;;
